,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,bredasdorp,79,ZA,1575858931,68,-34.53,20.04,66.2,13.87
1,vaini,100,IN,1575858931,82,15.34,74.49,68.0,5.82
2,saint-philippe,90,CA,1575858931,64,45.36,-73.48,35.6,19.46
3,ancud,40,CL,1575858931,87,-41.87,-73.83,53.6,5.82
4,bilibino,100,RU,1575858931,99,68.06,166.44,-25.62,4.09
5,auki,8,NG,1575858931,19,12.18,6.51,67.68,10.02
6,mitu,100,IR,1575858931,98,36.2,46.09,29.19,6.85
7,mataura,45,NZ,1575858931,67,-46.19,168.86,55.0,17.0
8,mar del plata,0,CN,1575858931,8,29.86,90.73,17.89,3.24
9,hobart,100,AU,1575858932,27,-42.88,147.33,82.99,10.29
10,mys shmidta,100,RU,1575858932,85,62.06,48.62,31.48,12.06
11,aswan,100,EG,1575858932,66,24.09,32.9,54.36,9.33
12,wanaka,29,NZ,1575858932,52,-44.7,169.14,52.34,3.44
13,bluff,8,AU,1575858932,22,-23.58,149.07,97.09,17.05
14,avarua,62,CK,1575858932,65,-21.21,-159.78,78.8,17.22
15,bethel,1,US,1575858932,74,60.79,-161.76,32.0,8.05
16,dikson,0,RU,1575858932,85,73.51,80.55,-2.85,19.86
17,tasiilaq,100,GL,1575858932,68,65.61,-37.64,26.6,4.7
18,luderitz,0,NA,1575858933,93,-26.65,15.16,60.8,5.82
19,samarinda,39,ID,1575858933,57,-0.5,117.14,90.36,2.28
20,cherepovets,90,RU,1575858933,96,59.13,37.92,32.0,6.71
21,khatanga,73,RU,1575858933,88,71.98,102.47,-8.86,4.41
22,cape town,0,CL,1575858933,63,-36.41,-71.9,64.4,3.58
23,butaritari,40,KI,1575858933,71,3.07,172.79,81.09,4.5
24,vardo,1,US,1575858933,64,39.62,-77.74,41.0,6.93
25,acapulco,5,MX,1575858934,83,16.86,-99.88,78.8,2.77
26,balkhash,0,KZ,1575858934,92,46.84,74.98,14.0,4.47
27,takoradi,35,GH,1575858934,84,4.89,-1.75,79.45,5.3
28,pitimbu,20,BR,1575858934,83,-7.47,-34.81,78.8,6.93
29,souillac,97,FR,1575858934,87,45.6,-0.6,51.01,13.87
30,albany,75,US,1575858934,51,42.65,-73.75,37.0,17.22
31,saldanha,100,PT,1575858934,95,41.42,-6.55,43.0,2.24
32,upernavik,93,GL,1575858935,56,72.79,-56.15,0.12,5.37
33,buritizeiro,100,BR,1575858935,95,-17.37,-44.96,68.38,2.75
34,busselton,0,AU,1575858935,27,-33.64,115.35,81.0,8.72
35,hasaki,40,JP,1575858935,66,35.73,140.83,51.01,13.87
36,svetlogorsk,75,RU,1575858935,74,53.14,59.15,33.8,17.9
37,menongue,87,AO,1575858935,94,-14.66,17.68,58.64,4.16
38,kuito,100,AO,1575858935,92,-12.38,16.94,61.45,1.99
39,jamestown,65,AU,1575858936,25,-33.21,138.6,86.72,14.65
40,kapaa,90,US,1575858936,78,22.08,-159.32,82.4,9.17
41,alyangula,40,AU,1575858936,56,-13.85,136.42,93.2,11.41
42,kirakira,100,SB,1575858936,79,-10.46,161.92,81.55,6.91
43,victoria,75,BN,1575858936,74,5.28,115.24,84.2,2.44
44,rikitea,100,PF,1575858936,82,-23.12,-134.97,74.26,25.08
45,yellowknife,5,CA,1575858936,73,62.45,-114.38,-31.0,8.05
46,tiksi,0,RU,1575858936,83,71.64,128.87,-23.96,5.44
47,ushuaia,75,AR,1575858724,87,-54.81,-68.31,44.6,3.36
48,ribeira grande,18,PT,1575858936,100,41.76,-8.56,50.0,2.24
49,punta arenas,40,PH,1575858937,65,14.18,121.12,86.0,2.24
50,ust-omchug,86,RU,1575858937,88,61.13,149.63,-18.81,3.83
51,georgetown,40,GY,1575858717,83,6.8,-58.16,80.6,6.93
52,atuona,0,PF,1575858937,70,-9.8,-139.03,79.41,11.92
53,hermanus,89,ZA,1575858937,84,-34.42,19.24,64.99,5.99
54,antofagasta,75,CL,1575858937,77,-23.65,-70.4,64.4,10.29
55,college,75,US,1575858937,92,64.86,-147.8,16.0,2.1
56,margate,100,AU,1575858937,27,-43.03,147.26,82.99,10.29
57,bafq,100,IR,1575858937,53,31.6,55.4,50.61,10.51
58,kuryk,100,KZ,1575858938,87,43.18,51.68,40.84,7.25
59,kalmunai,100,LK,1575858938,79,7.42,81.82,80.76,15.08
60,gualaquiza,76,EC,1575858938,98,-3.4,-78.58,62.55,0.31
61,olga,40,US,1575858938,77,34.11,-118.17,61.0,8.43
62,tuktoyaktuk,20,CA,1575858938,68,69.44,-133.03,-16.6,11.41
63,hithadhoo,24,MV,1575858639,77,-0.6,73.08,83.34,19.01
64,khlung,16,TH,1575858938,60,12.46,102.22,75.99,14.99
65,dalianwan,40,CN,1575858938,70,39.03,121.69,48.0,8.95
66,saskylakh,93,RU,1575858939,92,71.97,114.09,-8.54,5.93
67,hilo,1,US,1575858939,65,19.71,-155.08,82.4,5.82
68,sinnamary,98,GF,1575858939,77,5.38,-52.96,81.14,15.57
69,san patricio,62,ML,1575858939,12,13.3,-4.9,69.55,7.45
70,nikolskoye,75,RU,1575858939,86,59.7,30.79,39.99,13.42
71,sosnovo-ozerskoye,44,RU,1575858939,93,52.53,111.54,7.54,9.55
72,provideniya,90,RU,1575858939,80,64.42,-173.23,35.6,24.61
73,iqaluit,75,CA,1575858939,67,63.75,-68.52,17.6,20.8
74,corn island,90,FR,1575858939,93,44.61,1.9,46.99,19.46
75,chokurdakh,36,RU,1575858940,74,70.62,147.9,-26.27,1.43
76,jhudo,35,PK,1575858940,39,24.96,69.3,66.25,8.1
77,codrington,90,AU,1575858940,69,-28.95,153.24,84.2,11.41
78,bara,100,NG,1575858940,27,10.41,10.6,64.47,3.6
79,nome,1,US,1575858940,93,30.04,-94.42,66.2,4.7
80,moron,18,HT,1575858940,82,18.56,-74.26,78.4,14.99
81,ustka,100,PL,1575858940,83,54.58,16.86,42.82,15.26
82,zhigansk,0,RU,1575858940,93,66.77,123.37,-33.21,1.72
83,dicabisagan,83,PH,1575858941,83,17.08,122.42,74.44,14.2
84,nioro,40,GM,1575858941,23,13.79,-15.05,74.3,8.9
85,guerrero negro,75,AR,1575858941,77,-24.19,-65.45,69.8,5.82
86,naples,24,IT,1575858849,100,40.84,14.25,57.0,1.12
87,aklavik,90,CA,1575858941,69,68.22,-135.01,-9.4,6.93
88,barbacoas,100,CO,1575858942,96,1.67,-78.14,69.42,0.63
89,puerto ayora,40,AR,1575858942,76,-51.62,-69.23,53.6,5.82
90,barrow,0,AR,1575858942,88,-38.31,-60.23,52.39,4.45
91,saint-joseph,100,FR,1575858942,67,43.56,6.97,57.99,11.41
92,port alfred,100,CD,1575858942,86,-7.04,29.76,71.8,14.7
93,zinder,0,NE,1575858942,21,13.81,8.99,65.37,10.54
94,brodokalmak,8,RU,1575858942,92,55.57,62.07,19.4,6.71
95,mount gambier,20,GB,1575858942,93,53.66,-1.85,45.0,14.99
96,ostrovnoy,88,RU,1575858943,95,68.05,39.51,17.11,10.13
97,port macquarie,100,CD,1575858943,86,-7.04,29.76,71.8,14.7
98,dolores,30,UY,1575858943,66,-33.53,-58.22,72.0,1.99
99,aksarka,100,RU,1575858943,92,66.56,67.8,16.29,17.2
100,marsa matruh,90,FR,1575858943,76,42.82,2.16,54.0,13.87
101,never,100,RU,1575858943,91,53.98,124.16,-16.49,2.19
